Ticker,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA,BRK-B,JPM,JNJ,V,PG,UNH,HD,MA,DIS,ADBE,CRM,NFLX,PFE,KO,PEP,CSCO,XOM,WMT
AAPL,0.11966129434660948,0.08667836246606404,0.08108626279648508,0.07908625613895669,0.09448072053765409,0.12708366090053733,0.11658529117133459,0.04834930857332395,0.055752693080804584,0.03137397783569915,0.06589796726347714,0.03637538851439919,0.05324166435746237,0.06303308783542551,0.07456449357167982,0.058928800411478244,0.09138256771352816,0.08331948898199738,0.07925832430577692,0.03277702652500043,0.036433440861279365,0.04488354724920789,0.062355736121429174,0.04302460028089468,0.032301600538467486
MSFT,0.08667836246606404,0.1007115591897114,0.08001432321980932,0.08266684503716434,0.09094393627803841,0.12395176396780672,0.10312281395486346,0.045082693908488625,0.053805566272390006,0.031074980017576352,0.0655417519917489,0.03716212297484256,0.0536951004297912,0.06365209273715822,0.0743884658207805,0.058848344230555974,0.09732417472982573,0.09030502758900372,0.07748737199147286,0.032956292176598345,0.03562648768842002,0.04451546456410836,0.05968970055903952,0.03869428497275122,0.03248349859429582
AMZN,0.08108626279648508,0.08001432321980932,0.12774658226681518,0.07762349058537375,0.1000678727742401,0.12265791774181305,0.11002658927526993,0.0339123687450772,0.037551480499544196,0.019765654467145476,0.04980094058836451,0.024152533077882427,0.035727584701592166,0.050503305216987475,0.05870411397579961,0.05557882951418667,0.08991235972811232,0.08774525157300955,0.10196538367068511,0.021879168592707023,0.022735012550511986,0.03120007312074384,0.04636918271190536,0.02734998843424681,0.027752105979757764
GOOGL,0.07908625613895669,0.08266684503716434,0.07762349058537375,0.10359886007138788,0.09894126206562708,0.11514651254574002,0.09349148709803455,0.0432117320186054,0.05338777596921418,0.026524956523397262,0.061071303147390864,0.03054554450447559,0.0487060335377793,0.05581617121349805,0.06947220158328567,0.06008173074386895,0.08675288061311211,0.08104379043806548,0.07702668635318635,0.029568175313289192,0.032943057088636214,0.03753433374871358,0.053700087903377436,0.043010904958063784,0.02678627861213688
META,0.09448072053765409,0.09094393627803841,0.1000678727742401,0.09894126206562708,0.20750285040018615,0.1368297584671521,0.1077939509130671,0.04395839322103906,0.05412399667017119,0.025526445407670444,0.0670302137055035,0.02970036257872201,0.046380809238893206,0.06496475876876137,0.07839108297642694,0.0672576805332484,0.1066947552877447,0.10334754727683891,0.11788349077825526,0.03037766453793115,0.02846091286535439,0.037746185999992125,0.057301064973563326,0.03714564666252518,0.026865952615727554
NVDA,0.12708366090053733,0.12395176396780672,0.12265791774181305,0.11514651254574002,0.1368297584671521,0.276548151955197,0.1855420356271382,0.06029764783585567,0.0723795594107082,0.03153067538666507,0.09027116443414346,0.040169616251826294,0.06898853160061642,0.09130359508092875,0.10244357455662928,0.08242417877296872,0.14011048121641523,0.1316446724714364,0.13068943450813814,0.038735994308445154,0.03744729616526148,0.05117858021921126,0.08137805881124689,0.05657091066337484,0.04014340471340806
TSLA,0.11658529117133459,0.10312281395486346,0.11002658927526993,0.09349148709803455,0.1077939509130671,0.1855420356271382,0.45083906222100334,0.04709559602464002,0.06585388960993581,0.01736331805389879,0.0773452406066446,0.02129897264989846,0.04956231116611854,0.07294150476267938,0.08655423699579395,0.0761686423754445,0.11898353705917832,0.12516507545226216,0.1293949240133087,0.020191465875362382,0.0318382949192191,0.03506449812871014,0.05603491487500175,0.04827954696087929,0.02402614796968897
BRK-B,0.04834930857332395,0.045082693908488625,0.0339123687450772,0.0432117320186054,0.04395839322103906,0.06029764783585567,0.04709559602464002,0.05480235835972081,0.06379391307909965,0.027559542557857284,0.04957941370645998,0.028262736880381348,0.04379306231217063,0.044490948424770714,0.054374611052015326,0.051124376539904606,0.042354293711875816,0.043576347852871615,0.030897863388848944,0.029921107039156174,0.035549462408843574,0.03343119259039906,0.0436523480286851,0.053420311612446175,0.022444194105652973
JPM,0.055752693080804584,0.053805566272390006,0.037551480499544196,0.05338777596921418,0.05412399667017119,0.0723795594107082,0.06585388960993581,0.06379391307909965,0.11591312027143397,0.03074672068624584,0.06624461639345057,0.03150346389830824,0.055432513707748675,0.058267041897110496,0.07337603768769238,0.0740451794730032,0.04930887881917019,0.05393423680262992,0.03614920618146531,0.035858115407541885,0.044536544359861534,0.03929566534480181,0.055050031470383474,0.07620779474496227,0.02211431157366726
JNJ,0.03137397783569915,0.031074980017576352,0.019765654467145476,0.026524956523397262,0.025526445407670444,0.03153067538666507,0.01736331805389879,0.027559542557857284,0.03074672068624584,0.042390834649681526,0.030356894109387925,0.029385373057353326,0.035488317019325956,0.027962545808041722,0.032621226745782564,0.0248817336675705,0.02605859059868343,0.02464065932428999,0.01948853339061891,0.03128724094310409,0.02727767439300451,0.030489803310916795,0.033153371259962726,0.02470076058487988,0.020697364339632884
