N,K,Solver,p,seed,Feasibility Ratio (%),Optimization GAP (%),Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s)
6,3,Gurobi,,42,100.0,0.0,1.7812915291163687,1.0911274268139937,0.010545546871874555
6,3,Simulated Annealing,,42,100.0,0.460666447021383,1.7730857167180953,1.0861009688644139,0.04205632286407317
6,3,Standard QAOA,3.0,42,78.73490350116714,3.160003744414168,1.7250026500973592,1.0566477592703416,0.17823795877201234
6,3,XY-QAOA,3.0,42,100.0,3.307516902946819,1.722375010700085,1.0550382027394323,0.19276090491779702
6,3,XY-QAOA Regularized,3.0,42,100.0,1.7096111529352216,1.7508383704683048,1.1746045057177952,0.21709004945800917
6,3,Gurobi,,43,100.0,0.0,1.7415139724221296,1.1631198495742754,0.009269125753384743
6,3,Simulated Annealing,,43,100.0,0.38040549057802037,1.7348891576518524,1.158695277804492,0.03639141160875503
6,3,Standard QAOA,3.0,43,76.07651137892042,3.8788362061868575,1.673963497924017,1.1180043357276424,0.18629305367569052
6,3,XY-QAOA,3.0,43,100.0,2.8922329539494607,1.6911453314141025,1.129479713990961,0.2173042129475329
6,3,XY-QAOA Regularized,3.0,43,100.0,1.6282670976275608,1.7131574734085935,1.1626985444624651,0.25987451584014987
6,3,Gurobi,,44,100.0,0.0,1.7962315350968103,1.163131086445224,0.009748082783312297
6,3,Simulated Annealing,,44,100.0,0.572900810661451,1.785940910070884,1.156467499021924,0.03692924815095723
6,3,Standard QAOA,3.0,44,82.35040217705982,5.493141274017494,1.6975619992654893,1.0992386526647733,0.2027195149620189
6,3,XY-QAOA,3.0,44,100.0,3.051366333871499,1.741421930756483,1.1276396960546407,0.20715318036861735
6,3,XY-QAOA Regularized,3.0,44,100.0,2.039632830397808,1.7595950069970172,1.1730591582341567,0.22571531274245182
6,3,Gurobi,,45,100.0,0.0,1.8145447189442199,1.061716167245133,0.00969319647609822
6,3,Simulated Annealing,,45,100.0,0.3080640340511793,1.8089547592833777,1.058445401590144,0.032387764273699014
6,3,Standard QAOA,3.0,45,73.97171895408502,3.027054874895024,1.7596174545722687,1.0295774362469907,0.16066323688554093
6,3,XY-QAOA,3.0,45,100.0,3.9998374485476083,1.741965879755246,1.0192492463903777,0.2095328619181791
6,3,XY-QAOA Regularized,3.0,45,100.0,1.847995832070395,1.7810120081670773,1.1764362377779016,0.20985570867730063
6,3,Gurobi,,46,100.0,0.0,1.805131635726465,1.0639988161479446,0.011246885981562638
6,3,Simulated Annealing,,46,100.0,0.4652307022005694,1.7967336091419301,1.0590487669841737,0.035815602119224244
6,3,Standard QAOA,3.0,46,83.29190503838514,4.167602126766222,1.7299009312849989,1.0196555788573953,0.16800384826521667
6,3,XY-QAOA,3.0,46,100.0,2.2180423445522006,1.7650930516711443,1.040398871860249,0.1970065822800206
6,3,XY-QAOA Regularized,3.0,46,100.0,0.5899740925167252,1.7944818267398557,1.1683655877768833,0.22008238190753515
8,4,Gurobi,,42,100.0,0.0,1.7810420017189037,1.016028558307527,0.015646938279670067
8,4,Simulated Annealing,,42,100.0,0.38717377361578653,1.7741462741911664,1.0120947621973138,0.04371571045869756
8,4,Standard QAOA,3.0,42,74.50087392062976,4.371661253970761,1.703180878612813,0.9716112314947192,0.6443919529306126
8,4,XY-QAOA,3.0,42,100.0,2.2558406757100276,1.7408645317926486,0.9931085728123956,0.7861266485475761
8,4,XY-QAOA Regularized,3.0,42,100.0,2.140135430046864,1.7429252908161015,1.1376185065677114,0.8265790644856457
8,4,Gurobi,,43,100.0,0.0,1.7449801523952302,1.1013531864176243,0.013960383034890847
8,4,Simulated Annealing,,43,100.0,0.34260581392529654,1.7390017489412815,1.097579886369106,0.03765179325597923
8,4,Standard QAOA,3.0,43,73.22990257065351,2.926141734675408,1.693919559894191,1.0691260311836808,0.6441959103727204
8,4,XY-QAOA,3.0,43,100.0,3.168296952150986,1.6896939994112525,1.0664590469799369,0.7698102176536673
8,4,XY-QAOA Regularized,3.0,43,100.0,1.7685250872665499,1.7141197406322985,1.1338514169728053,0.8428793825553547
8,4,Gurobi,,44,100.0,0.0,1.8122932358018817,1.0233412128958175,0.014227498545590788
8,4,Simulated Annealing,,44,100.0,0.42240606072542924,1.8046379993357375,1.0190185575906443,0.03959626355256874
8,4,Standard QAOA,3.0,44,77.46580973947825,4.55493229226709,1.7297445059737697,0.9767287135295482,0.6485756807526061
8,4,XY-QAOA,3.0,44,100.0,3.586180091507533,1.747301136579817,0.986642354050756,0.7911926025178609
